"Schedule",""
"","(Section  2)"
"Column  I","Column  II"
"1.
Abetment  of  an  offence  set  out  in",""
"the  Schedule,  if  the  act  abetted  is",""
"committed.","Section  102-Penal  Code"
"2.
Conspiracy  for  the  abetment  or",""
"commission  of  any  offence  set  out",""
"in  the  Schedule.","Section  113B-Penal  Code"
"3. Murder.","Section  296-Penal  Code"
"4.
Culpable  Homicide  not  amounting",""
"to  murder.","Section  297-Penal  Code"
"5.
Attempt  to  commit  murder.","Section  300-Penal  Code"
"6.
Kidnapping  or  abduction  to  commit",""
"murder.","Section  355-Penal  Code"
"7.
Kidnapping  or  abduction  with",""
"intent  to  wrongfully  confine  a",""
"person.","Section  356-Penal  Code"
"8.
Kidnapping  or  abduction  with",""
"intent  to  wrongfully  subject",""
"person  to  grievous  hurt.","Section  358-Penal  Code"
"9.
Concealing  or  keeping  in",""
"confinement",""
"a  kidnapped  person.","Section  359-Penal  Code"
"10.
Rape.","Section  364-Penal  Code"
"11.
Theft,  preparation  having  being",""
"made  to  cause  death  &c.","Section  371-Penal  Code"
